# time_start: 2026-05-10 13:09:40
# time_stop:  2026-05-10 13:09:47
CH 0, CH 8, CH 9
19, -126, 86033
23, -341, 85997
16, -339, 86029
25, -335, 86028
34, -355, 86042
30, -177, 86047
17, -32, 86047
14, -238, 86036
22, -345, 86045
17, -316, 86051
39, -312, 85986
45, -382, 86021
43, -219, 86032
18, -319, 86039
13, -485, 86015
13, -199, 86048
17, -299, 86028
28, -420, 85998
44, -473, 86016
34, -127, 85974
21, -453, 86041
25, -377, 86001
21, -271, 86057
17, -288, 86029
15, -499, 86012
28, -382, 86036
49, -390, 86054
41, -421, 86018
22, -146, 86035
23, -454, 86004
33, -93, 86043
27, -310, 86018
20, -394, 86021
24, -338, 86036
21, -414, 86000
11, -454, 86032
43, -374, 86025
29, -285, 86024
20, -500, 86046
28, -234, 86037
18, -460, 85989
20, -125, 86030
20, -141, 86014
29, -455, 86024
28, -381, 86003
18, -272, 86049
13, -250, 86033
30, -538, 85996
27, -225, 86055
28, -361, 86040
16, -155, 85999
17, -422, 86031
15, -589, 86038
29, -289, 86023
38, -333, 86033
33, -442, 86020
24, -523, 85998
18, -280, 86038
20, -474, 86014
25, -318, 86061
31, -290, 86028
21, -374, 85964
27, -541, 86032
23, -303, 86039
20, -475, 85986
24, -236, 86027
26, -454, 85999
18, -195, 86035
38, -218, 86060
30, -235, 86051
20, -381, 85999
19, -303, 86002
12, -438, 86071
26, -495, 85978
25, -480, 85995
42, -314, 86035
34, -263, 86041
24, -496, 86002
32, -373, 86041
19, -429, 86011
21, -190, 86010
24, -418, 86031
11, -183, 86052
27, -393, 85963
40, -260, 86006
24, -501, 86041
28, -447, 86074
22, -459, 86059
25, -318, 86014
35, -108, 86015
27, -260, 86068
21, -258, 86016
20, -349, 86051
23, -388, 86009
22, -380, 85972
39, -592, 86048
42, -456, 86039
25, -230, 86038
22, -414, 86057
13, -491, 86030
18, -251, 86043
17, -98, 86001
35, -345, 86011
40, -310, 86036
34, -420, 86042
16, -167, 85965
15, -76, 86010
18, -460, 86006
